City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
600,Pucallpa,PE,77.04,broken clouds,-8.3791,-74.5539,Hospedaje Komby
603,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
604,Perth,AU,79.18,clear sky,-31.9333,115.8333,Beatty Lodge
613,Waingapu,ID,84.87,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
616,Coahuayana,MX,81.88,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
619,Pilar,BR,75.13,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
623,Kaili,ID,79.83,broken clouds,-3.4626,120.2147,
633,Sambava,MG,75.4,overcast clouds,-14.2667,50.1667,Melrose
637,Bintulu,MY,82.81,few clouds,3.1667,113.0333,900 Boutique INN
639,Kieta,PG,84.51,light rain,-6.2167,155.6333,Uruna Bay Retreat
640,Manaus,BR,77.49,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
646,Port Blair,IN,82.13,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
651,Bonthe,SL,77.45,light rain,7.5264,-12.505,Bonthe Holiday Village
652,Dicabisagan,PH,78.58,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
656,Byron Bay,AU,86.11,broken clouds,-28.65,153.6167,Backpackers Inn
666,Sigli,ID,81.39,broken clouds,5.3848,95.9609,Losmen Dua Mali
667,Kloulklubed,PW,82.74,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
668,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
