City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
155,Kapaa,US,2022-01-10 02:36:08,22.0752,-159.319,79.12,65,0,3.0,clear sky
156,Murgab,TM,2022-01-10 02:36:17,37.4966,61.9714,35.47,100,100,6.91,fog
157,Atuona,PF,2022-01-10 02:36:18,-9.8,-139.0333,78.17,78,89,16.84,light rain
158,Bethel,US,2022-01-10 02:36:18,41.3712,-73.414,38.05,91,100,1.99,overcast clouds
159,Butaritari,KI,2022-01-10 02:36:19,3.0707,172.7902,81.73,77,75,17.83,broken clouds
160,Kemi,FI,2022-01-10 02:36:19,65.8596,24.8228,-16.83,83,20,1.14,few clouds
161,Yetkul,RU,2022-01-10 02:36:19,54.8221,61.588,-4.02,94,99,6.46,overcast clouds
162,Ahipara,NZ,2022-01-10 02:36:11,-35.1667,173.1667,72.95,64,95,6.17,overcast clouds
163,Nea Peramos,GR,2022-01-10 02:36:20,38.0076,23.423,53.38,83,94,8.9,overcast clouds
164,Saint-Ambroise,CA,2022-01-10 02:36:20,48.5501,-71.3324,22.6,74,87,17.27,overcast clouds
165,Pyinmana,MM,2022-01-10 02:36:21,19.7333,96.2167,76.3,44,3,2.37,clear sky
166,Gondar,ET,2022-01-10 02:36:21,12.6,37.4667,57.31,67,20,5.97,few clouds
167,Tiksi,RU,2022-01-10 02:36:22,71.6872,128.8694,-2.97,85,100,23.09,overcast clouds
168,Aykhal,RU,2022-01-10 02:36:22,66.0,111.5,-1.59,94,100,17.78,overcast clouds
169,Sorland,NO,2022-01-10 02:31:20,67.667,12.6934,32.52,65,6,7.56,clear sky
170,Clyde River,CA,2022-01-10 02:36:22,70.4692,-68.5914,-1.97,78,100,26.46,light snow
171,Barra,BR,2022-01-10 02:36:23,-11.0894,-43.1417,73.49,86,98,1.23,overcast clouds
172,Jacareacanga,BR,2022-01-10 02:36:23,-6.2222,-57.7528,69.57,98,100,1.59,overcast clouds
173,Taltal,CL,2022-01-10 02:36:24,-25.4,-70.4833,67.14,79,37,3.87,scattered clouds
174,Airai,TL,2022-01-10 02:36:24,-8.9266,125.4092,71.74,73,43,2.68,scattered clouds
175,Magam,IN,2022-01-10 02:36:25,34.0833,74.5833,36.79,96,100,1.14,overcast clouds
176,Maldonado,UY,2022-01-10 02:31:59,-34.6667,-54.9167,69.22,84,14,11.43,few clouds
177,Chicama,PE,2022-01-10 02:36:25,-7.8447,-79.1469,66.74,74,9,4.99,clear sky
178,Rocha,UY,2022-01-10 02:36:26,-34.4833,-54.3333,65.79,87,0,11.61,clear sky
179,Alexandria,EG,2022-01-10 02:36:26,31.2156,29.9553,50.54,76,40,13.8,scattered clouds
180,Aleksandrov Gay,RU,2022-01-10 02:36:26,50.147,48.5704,17.67,82,100,12.71,overcast clouds
181,Jiwani,PK,2022-01-10 02:36:27,25.05,61.7417,64.29,51,0,5.86,clear sky
182,Broome,US,2022-01-10 02:36:28,42.2506,-75.833,35.71,80,100,5.99,overcast clouds
183,Meulaboh,ID,2022-01-10 02:36:28,4.1363,96.1285,76.37,90,100,4.97,heavy intensity rain
184,Thompson,CA,2022-01-10 02:36:29,55.7435,-97.8558,-21.84,69,0,9.22,clear sky
185,Hamilton,US,2022-01-10 02:31:34,39.1834,-84.5333,29.64,63,0,4.0,clear sky
186,Lac Du Bonnet,CA,2022-01-10 02:37:30,50.2536,-96.0612,-16.42,93,7,7.81,clear sky
187,Itanagar,IN,2022-01-10 02:37:30,27.1,93.6167,52.43,52,53,2.19,broken clouds
188,Sorong,ID,2022-01-10 02:37:31,-0.8833,131.25,82.9,75,36,5.55,scattered clouds
