City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Dromolaxia,CY,2022-01-09 03:40:13,34.8761,33.586,58.98,94,20,4.61
253,Ugoofaaru,MV,2022-01-09 03:40:14,5.6667,73.0,81.14,73,9,9.04
254,Tiksi,RU,2022-01-09 03:40:14,71.6872,128.8694,-13.95,96,100,7.76
255,Songea,TZ,2022-01-09 03:40:15,-10.6833,35.65,64.53,95,100,1.81
256,Langsa,ID,2022-01-09 03:40:15,4.4683,97.9683,86.27,63,99,4.43
257,Margate,GB,2022-01-09 03:40:15,51.3813,1.3862,39.87,79,42,1.99
258,Oranjemund,NA,2022-01-09 03:40:16,-28.55,16.4333,65.32,93,44,2.68
259,Tessalit,ML,2022-01-09 03:40:16,20.1986,1.0114,51.78,27,19,10.47
260,Ibipeba,BR,2022-01-09 03:40:17,-11.6408,-42.0111,70.21,89,100,2.59
261,Ende,ID,2022-01-09 03:40:17,-8.8432,121.6623,87.53,64,54,1.83
262,Tiarei,PF,2022-01-09 03:40:18,-17.5333,-149.3333,84.0,75,11,4.29
263,Awbari,LY,2022-01-09 03:40:18,26.5921,12.7805,38.59,64,0,8.41
264,Cap Malheureux,MU,2022-01-09 03:40:18,-19.9842,57.6142,80.47,84,0,4.0
265,Piranhas,BR,2022-01-09 03:40:19,-16.4269,-51.8222,71.98,98,100,1.03
266,La Union,PE,2022-01-09 03:40:19,-5.4,-80.75,73.83,68,88,8.81
267,Xai-Xai,MZ,2022-01-09 03:40:20,-25.0519,33.6442,77.05,62,69,9.37
268,Minanga,PH,2022-01-09 03:40:20,17.7626,121.7277,79.11,74,68,4.32
269,Alta Floresta,BR,2022-01-09 03:40:20,-9.8756,-56.0861,70.27,99,100,5.06
270,Havre-Saint-Pierre,CA,2022-01-09 03:40:21,50.2334,-63.5986,6.8,65,0,14.97
271,Aguilas,ES,2022-01-09 03:37:25,37.4063,-1.5829,51.55,36,40,6.73
272,San Bonifacio,IT,2022-01-09 03:40:21,45.3969,11.2844,34.66,99,100,3.78
273,Koslan,RU,2022-01-09 03:40:22,63.4564,48.8989,-1.79,97,77,7.47
274,Beyneu,KZ,2022-01-09 03:40:22,45.3167,55.2,24.87,69,57,10.45
275,Newport,GB,2022-01-09 03:37:14,51.5877,-2.9984,44.02,83,8,15.84
276,Estepa,ES,2022-01-09 03:41:23,37.2926,-4.879,37.8,58,4,2.66
277,Bengkulu,ID,2022-01-09 03:41:23,-3.8004,102.2655,84.96,61,53,4.54
278,Lavrentiya,RU,2022-01-09 03:41:24,65.5833,-171.0,-13.61,88,4,8.59
279,Lebu,CL,2022-01-09 03:41:24,-37.6167,-73.65,58.17,94,88,1.7
280,Shieli,KZ,2022-01-09 03:41:25,44.1667,66.75,33.37,75,96,3.22
281,Zell Am See,AT,2022-01-09 03:41:25,47.3256,12.7944,29.77,74,99,8.43
282,Hammerfest,NO,2022-01-09 03:41:26,70.6634,23.6821,23.45,80,100,8.05
283,Katherine,AU,2022-01-09 03:41:26,-14.4667,132.2667,91.72,58,75,10.36
284,Goderich,CA,2022-01-09 03:41:26,43.7501,-81.7165,32.32,80,100,14.97
285,Quatre Cocos,MU,2022-01-09 03:41:27,-20.2078,57.7625,80.1,76,1,5.12
286,Rapu-Rapu,PH,2022-01-09 03:41:27,13.1866,124.1256,80.49,74,44,6.26
287,Provideniya,RU,2022-01-09 03:41:28,64.3833,-173.3,1.09,65,0,10.92
288,Isla Mujeres,MX,2022-01-09 03:41:28,21.2311,-86.731,77.16,75,100,16.06
289,Alibag,IN,2022-01-09 03:41:29,18.6411,72.8792,69.87,60,18,13.4
290,Balingcanaway,PH,2022-01-09 03:41:29,15.4817,120.6856,86.61,54,60,4.05
291,Port Moresby,PG,2022-01-09 03:41:29,-9.4431,147.1797,89.02,62,40,11.5
292,Hambantota,LK,2022-01-09 03:41:30,6.1241,81.1185,81.43,71,92,14.09
293,Ilam,NP,2022-01-09 03:41:30,26.9167,87.9167,62.19,61,20,3.78
294,San Quintin,MX,2022-01-09 03:41:32,30.4833,-115.95,56.84,76,100,2.59
